47,100000
9,100000
55,100001
61,100002
8,100003
18,100004
104,100005
35,100006
47,100006
81,100007
29,100007
67,100008
96,100008
84,100009
45,100010
43,100011
83,100011
46,100012
10,100012
97,100013
73,100014
38,100014
82,100015
54,100016
34,100016
95,100017
26,100017
16,100018
59,100019
53,100020
104,100021
101,100021
82,100022
17,100023
7,100024
72,100025
3,100025
101,100026
27,100027
104,100028
55,100028
76,100029
70,100029
79,100030
59,100030
67,100031
73,100031
102,100032
68,100033
32,100034
16,100034
10,100035
69,100036
90,100036
35,100037
87,100038
96,100038
66,100039
25,100040
34,100040
71,100041
16,100041
88,100042
10,100043
65,100043
73,100044
81,100044
49,100045
4,100046
51,100047
68,100048
98,100049
76,100050
14,100051
58,100051
54,100052
3,100052
83,100053
102,100054
10,100054
37,100055
4,100056
25,100056
53,100057
5,100058
53,100058
63,100059
18,100060
98,100061
85,100062
62,100062
5,100063
55,100064
80,100064
69,100065
25,100065
50,100066
51,100067
97,100068
51,100068
61,100069
26,100069
42,100070
63,100070
79,100071
11,100072
99,100072
49,100073
59,100073
40,100074
50,100074
23,100075
36,100076
22,100077
31,100077
68,100078
32,100079
98,100080
25,100081
101,100082
59,100083
13,100084
29,100085
72,100086
53,100086
3,100087
9,100088
105,100088
63,100089
68,100090
12,100091
99,100091
43,100092
105,100092
16,100093
32,100094
77,100094
93,100095
80,100096
55,100097
59,100098
98,100099
19,100099
74,100100
44,100101
26,100102
39,100103
79,100104
66,100105
48,100105
98,100106
36,100107
92,100107
25,100108
21,100108
67,100109
26,100110
39,100111
83,100112
18,100113
33,100114
92,100115
88,100116
81,100116
61,100117
6,100118
90,100118
1,100119
55,100119
24,100120
31,100121
73,100121
47,100122
56,100122
46,100123
43,100124
78,100124
80,100125
89,100126
37,100127
93,100127
84,100128
91,100128
62,100129
40,100130
53,100131
76,100132
33,100132
63,100133
3,100133
2,100134
44,100135
62,100136
44,100136
19,100137
35,100138
101,100138
52,100139
62,100139
4,100140
84,100141
72,100142
103,100142
95,100143
99,100143
99,100144
67,100144
77,100145
51,100145
59,100146
90,100147
13,100147
33,100148
30,100149
70,100150
3,100151
82,100151
17,100152
71,100152
76,100153
69,100154
79,100154
10,100155
89,100155
91,100156
18,100156
79,100157
98,100157
48,100158
61,100159
22,100160
21,100160
59,100161
2,100161
34,100162
33,100162
103,100163
58,100163
55,100164
26,100164
7,100165
34,100165
96,100166
34,100167
10,100167
76,100168
1,100169
73,100169
9,100170
105,100171
32,100171
85,100172
22,100172
38,100173
82,100173
18,100174
26,100175
96,100176
67,100176
87,100177
64,100177
24,100178
20,100179
80,100179
91,100180
37,100180
103,100181
6,100181
1,100182
48,100183
51,100184
14,100184
101,100185
72,100186
37,100186
11,100187
87,100187
35,100188
5,100188
25,100189
87,100190
68,100190
41,100191
89,100192
46,100192
42,100193
79,100194
39,100195
39,100196
97,100196
27,100197
29,100197
47,100198
17,100199
93,100199
81,100200
45,100200
25,100201
62,100202
26,100203
27,100204
76,100205
99,100206
98,100206
50,100207
29,100208
62,100209
96,100209
31,100210
73,100211
60,100212
8,100213
52,100214
89,100214
43,100215
7,100216
35,100216
23,100217
85,100218
20,100219
24,100219
